GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 00000,United States, ,CAINC5N,709.0,451,"    Sporting goods, hobby, musical instrument, and book stores ",Thousands of dollars,16103000,16494000,16698000,16763000,17036000,17633000,17487000,16708000,16447000,16556000,16498000,16665000,17370000,18059000,18828000,18314000,18189000,18391000,18405000,18232000,21091000,21183000,21402000
 00000,United States, ,CAINC5N,711.0,452,    General merchandise stores ,Thousands of dollars,58162000,62591000,66954000,69717000,73546000,76312000,78687000,80308000,82748000,81504000,85237000,85050000,85233000,87919000,91059000,92438000,93755000,96426000,97398000,100950000,112170000,116023000,118381000
 00000,United States, ,CAINC5N,712.0,453,    Miscellaneous store retailers ,Thousands of dollars,32594000,32620000,32907000,33050000,33555000,34909000,33586000,30915000,30194000,31565000,32750000,33733000,34379000,35891000,36960000,36636000,36844000,38759000,40402000,39950000,45718000,44956000,47025000
 00000,United States, ,CAINC5N,713.0,454,    Nonstore retailers ,Thousands of dollars,24853000,24681000,25596000,26362000,27770000,29502000,30910000,29014000,29928000,31879000,34208000,36578000,38340000,42167000,45087000,46893000,51290000,56640000,60240000,67025000,76049000,74460000,75758000
 00000,United States, ,CAINC5N,800.0,48-49,   Transportation and warehousing ,Thousands of dollars,246437000,241035000,247186000,262801000,273108000,287652000,312548000,302672000,289930000,306334000,330984000,349020000,363982000,386993000,419261000,425445000,452806000,488150000,518496000,520417000,591338000,647472000,686653000
 00000,United States, ,CAINC5N,801.0,481,    Air transportation ,Thousands of dollars,41714000,40356000,38439000,37762000,36113000,36376000,43072000,40338000,36625000,39566000,42059000,43415000,46999000,47908000,51990000,57089000,60752000,65111000,67397000,62656000,63227000,74062000,88505000
 00000,United States, ,CAINC5N,802.0,482,    Rail transportation ,Thousands of dollars,16350000,16062000,16463000,17145000,18077000,18839000,18332000,19567000,18700000,18033000,20178000,21917000,21039000,22649000,23725000,21404000,21396000,22419000,22298000,19404000,19165000,20428000,21641000
 00000,United States, ,CAINC5N,803.0,483,    Water transportation ,Thousands of dollars,4167000,3875000,4204000,4670000,5012000,5718000,6811000,7189000,6614000,6770000,6626000,7094000,7778000,7701000,8201000,6802000,7678000,7693000,8524000,7515000,16335000,9155000,10082000
 00000,United States, ,CAINC5N,804.0,484,    Truck transportation ,Thousands of dollars,81943000,83251000,85866000,91179000,96657000,103284000,107855000,97565000,91648000,97583000,107833000,112979000,117970000,125943000,131573000,128713000,134399000,145055000,153523000,152221000,171270000,182338000,184152000
 00000,United States, ,CAINC5N,805.0,485,    Transit and ground passenger transportation ,Thousands of dollars,14081000,14692000,16541000,17675000,18108000,19763000,24749000,22813000,23700000,26611000,28430000,29559000,30644000,32621000,33844000,34828000,36767000,39752000,47831000,35668000,41840000,47799000,54988000
